bench_name,model_cycle,temperature,num_completions,max_rollout_depth,max_requests_per_attempt,max_dollar_budget,seed,success,num_requests,input_tokens,cached_input_tokens,output_tokens,price
30,"[['gpt-4o-mini-2024-07-18', 1]]",1.5,8,3,6,0.2,0,True,1,3251,3072,310,0.0018932999999999999
30,"[['gpt-4o-mini-2024-07-18', 1]]",1.7,8,3,4,0.2,0,True,1,3251,3200,460,0.0019621499999999997
30,"[['gpt-4o-mini-2024-07-18', 1]]",1.7,8,3,6,0.2,0,True,1,3251,3200,338,0.0019529999999999999
30,"[['gpt-4o-mini-2024-07-18', 1]]",1.5,8,3,4,0.2,1,True,1,3251,3200,339,0.0019530749999999999
30,"[['gpt-4o-mini-2024-07-18', 1]]",1.5,8,3,6,0.2,1,True,1,3251,3200,363,0.001954875
30,"[['gpt-4o-mini-2024-07-18', 1]]",1.7,8,3,4,0.2,1,True,1,3251,3072,334,0.0018950999999999998
30,"[['gpt-4o-mini-2024-07-18', 1]]",1.7,8,3,6,0.2,1,True,1,3251,3200,357,0.001954425
30,"[['gpt-4o-mini-2024-07-18', 1]]",1.5,8,3,4,0.2,2,True,1,3251,3200,337,0.0019529249999999999
30,"[['gpt-4o-mini-2024-07-18', 1]]",1.5,8,3,6,0.2,2,True,1,3251,3200,305,0.0019505249999999998
30,"[['gpt-4o-mini-2024-07-18', 1]]",1.7,8,3,4,0.2,2,True,1,3251,3200,339,0.0019530749999999999
30,"[['gpt-4o-mini-2024-07-18', 1]]",1.7,8,3,6,0.2,2,True,1,3251,3200,309,0.001950825
36,"[['gpt-4o-mini-2024-07-18', 1]]",1.5,8,3,4,0.2,0,True,1,3288,3072,397,0.0019053749999999997
36,"[['gpt-4o-mini-2024-07-18', 1]]",1.5,8,3,6,0.2,0,True,1,3288,0,430,0.00052545
36,"[['gpt-4o-mini-2024-07-18', 1]]",1.7,8,3,4,0.2,0,True,1,3288,3200,333,0.001958175
36,"[['gpt-4o-mini-2024-07-18', 1]]",1.7,8,3,6,0.2,0,True,1,3288,3200,492,0.0019701
36,"[['gpt-4o-mini-2024-07-18', 1]]",1.5,8,3,4,0.2,1,True,1,3288,3200,482,0.00196935
36,"[['gpt-4o-mini-2024-07-18', 1]]",1.5,8,3,6,0.2,1,True,1,3288,3072,482,0.0019117499999999998
36,"[['gpt-4o-mini-2024-07-18', 1]]",1.7,8,3,4,0.2,1,True,1,3288,3200,390,0.00196245
36,"[['gpt-4o-mini-2024-07-18', 1]]",1.7,8,3,6,0.2,1,True,1,3288,3200,471,0.001968525
36,"[['gpt-4o-mini-2024-07-18', 1]]",1.5,8,3,4,0.2,2,True,1,3288,3200,401,0.001963275
36,"[['gpt-4o-mini-2024-07-18', 1]]",1.5,8,3,6,0.2,2,True,1,3288,3200,492,0.0019701
36,"[['gpt-4o-mini-2024-07-18', 1]]",1.7,8,3,4,0.2,2,True,1,3288,3072,495,0.0019127249999999999
36,"[['gpt-4o-mini-2024-07-18', 1]]",1.7,8,3,6,0.2,2,True,1,3288,3200,396,0.0019629
69,"[['gpt-4o-mini-2024-07-18', 1]]",1.5,64,3,4,0.2,0,True,8,26606,24960,3812,0.015508799999999998
69,"[['gpt-4o-mini-2024-07-18', 1]]",1.5,32,3,6,0.2,0,True,4,13316,12288,1806,0.0076624499999999995
69,"[['gpt-4o-mini-2024-07-18', 1]]",1.7,8,3,4,0.2,0,True,1,3313,3200,479,0.001972875
69,"[['gpt-4o-mini-2024-07-18', 1]]",1.7,8,3,6,0.2,0,True,1,3313,3072,478,0.0019152
69,"[['gpt-4o-mini-2024-07-18', 1]]",1.5,40,3,4,0.2,1,True,5,16588,15360,2132,0.009560099999999998
69,"[['gpt-4o-mini-2024-07-18', 1]]",1.5,40,3,6,0.2,1,True,5,16710,15616,2798,0.00974355
69,"[['gpt-4o-mini-2024-07-18', 1]]",1.7,8,3,4,0.2,1,True,1,3313,3200,6820,0.0024484499999999996
69,"[['gpt-4o-mini-2024-07-18', 1]]",1.7,16,3,6,0.2,1,True,2,6639,6272,837,0.0038810249999999998
69,"[['gpt-4o-mini-2024-07-18', 1]]",1.5,16,3,4,0.2,2,True,2,6639,6400,868,0.0039409499999999995
