bench_name,model_name,temperature,max_feedback_cycles,seed,loop,success,num_completions,num_requests,input_tokens,cached_input_tokens,output_tokens,price
126,gpt-4o-2024-08-06,0.7,0,2,True,True,1,1,2221,2048,309,0.006082499999999999
126,gpt-4o-2024-08-06,0.7,1,0,True,True,1,1,2221,2176,279,0.0056225
126,gpt-4o-2024-08-06,0.7,1,1,True,True,1,1,2221,2176,237,0.0052025
126,gpt-4o-2024-08-06,0.7,1,2,True,True,1,1,2221,2176,266,0.005492499999999999
126,gpt-4o-2024-08-06,0.7,3,0,True,True,1,1,2221,2176,255,0.0053825
126,gpt-4o-2024-08-06,0.7,3,1,True,True,1,1,2221,2176,270,0.005532499999999999
126,gpt-4o-2024-08-06,0.7,3,2,True,True,1,1,2221,2176,203,0.0048625
126,o3-2025-04-16,1.0,0,0,True,True,1,1,2226,2048,1120,0.010339999999999998
126,o3-2025-04-16,1.0,0,1,True,True,1,1,2226,2176,1184,0.01066
126,o3-2025-04-16,1.0,0,2,True,True,1,1,2226,2176,1057,0.009644
126,o3-2025-04-16,1.0,1,0,True,True,2,2,4452,4224,2343,0.021311999999999998
126,o3-2025-04-16,1.0,1,1,True,True,1,1,2226,2176,800,0.007587999999999999
126,o3-2025-04-16,1.0,1,2,True,True,1,1,2226,2176,1184,0.01066
126,o3-2025-04-16,1.0,3,0,True,True,1,1,2226,0,1248,0.014436000000000001
126,o3-2025-04-16,1.0,3,1,True,True,1,1,2226,2048,1888,0.016484
126,o3-2025-04-16,1.0,3,2,True,True,1,1,2226,2176,1650,0.014388
95,gpt-4o-mini-2024-07-18,0.7,3,0,True,True,1,1,2197,1920,376,0.00041115
95,gpt-4o-mini-2024-07-18,0.7,3,1,True,True,1,1,2197,2048,371,0.00039855
95,gpt-4o-mini-2024-07-18,0.7,3,2,True,True,2,2,5099,4096,757,0.0009118499999999999
95,gpt-4o-mini-2024-07-18,1.0,3,0,True,True,2,2,5163,2176,819,0.0011026499999999997
95,gpt-4o-mini-2024-07-18,1.0,3,1,True,True,1,1,2197,1920,424,0.00043995000000000004
95,gpt-4o-mini-2024-07-18,1.0,3,2,True,True,2,2,5199,4736,813,0.00091245
95,gpt-4o-mini-2024-07-18,1.5,3,0,True,True,27,27,77996,63744,169998,0.10891739999999998
95,gpt-4o-mini-2024-07-18,1.5,3,1,True,True,2,2,4394,4352,3400,0.0023726999999999997
95,gpt-4o-mini-2024-07-18,1.5,3,2,True,True,25,25,57610,53120,182632,0.1142367
95,gpt-4o-2024-08-06,0.7,0,0,True,True,1,1,2197,2048,200,0.004932499999999999
95,gpt-4o-2024-08-06,0.7,0,1,True,True,1,1,2197,2176,226,0.0050325
95,gpt-4o-2024-08-06,0.7,0,2,True,True,1,1,2197,0,228,0.007772499999999999
95,gpt-4o-2024-08-06,0.7,1,0,True,True,1,1,2197,2176,165,0.004422499999999999
95,gpt-4o-2024-08-06,0.7,1,1,True,True,1,1,2197,2176,189,0.0046625
95,gpt-4o-2024-08-06,0.7,1,2,True,True,1,1,2197,2176,254,0.0053124999999999995
95,gpt-4o-2024-08-06,0.7,3,0,True,True,1,1,2197,2176,199,0.004762499999999999
95,gpt-4o-2024-08-06,0.7,3,1,True,True,1,1,2197,2176,213,0.0049025
95,gpt-4o-2024-08-06,0.7,3,2,True,True,1,1,2197,2176,190,0.0046725
95,o3-2025-04-16,1.0,0,0,True,True,1,1,2202,2176,778,0.007363999999999999
95,o3-2025-04-16,1.0,0,1,True,True,1,1,2202,2048,1297,0.011708
95,o3-2025-04-16,1.0,0,2,True,True,1,1,2202,2176,1251,0.011148
95,o3-2025-04-16,1.0,1,0,True,True,1,1,2202,2176,1015,0.009260000000000001
95,o3-2025-04-16,1.0,1,1,True,True,2,2,4404,4352,2586,0.022968000000000002
95,o3-2025-04-16,1.0,1,2,True,True,1,1,2202,2176,621,0.006108000000000001
95,o3-2025-04-16,1.0,3,0,True,True,1,1,2202,0,1273,0.014588
95,o3-2025-04-16,1.0,3,1,True,True,1,1,2202,2176,943,0.008683999999999999
95,o3-2025-04-16,1.0,3,2,True,True,1,1,2202,2176,1113,0.010044
30,gpt-4o-mini-2024-07-18,0.7,3,0,True,True,1,1,2145,1920,239,0.00032114999999999997
30,gpt-4o-mini-2024-07-18,0.7,3,1,True,True,1,1,2145,1920,364,0.00039615
30,gpt-4o-mini-2024-07-18,0.7,3,2,True,True,1,1,2145,1920,378,0.00040455
30,gpt-4o-mini-2024-07-18,1.0,3,0,True,True,1,1,2145,2048,373,0.00039194999999999996
30,gpt-4o-mini-2024-07-18,1.0,3,1,True,True,1,1,2145,1920,313,0.00036554999999999997
30,gpt-4o-mini-2024-07-18,1.0,3,2,True,True,1,1,2145,2048,267,0.00032835
30,gpt-4o-mini-2024-07-18,1.5,3,0,True,True,5,5,10725,8064,13096,0.00886155
30,gpt-4o-mini-2024-07-18,1.5,3,1,True,True,9,9,19637,18048,27343,0.017997750000000003
30,gpt-4o-mini-2024-07-18,1.5,3,2,True,True,3,3,6435,6144,12221,0.00783705
30,gpt-4o-2024-08-06,0.7,0,0,True,True,1,1,2145,2048,193,0.0047325
30,gpt-4o-2024-08-06,0.7,0,1,True,True,1,1,2145,2048,177,0.0045725
30,gpt-4o-2024-08-06,0.7,0,2,True,True,1,1,2145,2048,190,0.0047025
30,gpt-4o-2024-08-06,0.7,1,0,True,True,1,1,2145,2048,219,0.0049924999999999995
30,gpt-4o-2024-08-06,0.7,1,1,True,True,1,1,2145,2048,154,0.0043425
30,gpt-4o-2024-08-06,0.7,1,2,True,True,1,1,2145,2048,205,0.004852499999999999
30,gpt-4o-2024-08-06,0.7,3,0,True,True,1,1,2145,2048,256,0.005362499999999999
30,gpt-4o-2024-08-06,0.7,3,1,True,True,1,1,2145,2048,235,0.005152499999999999
30,gpt-4o-2024-08-06,0.7,3,2,True,True,1,1,2145,2048,234,0.0051424999999999995
30,o3-2025-04-16,1.0,0,0,True,True,1,1,2150,2048,624,0.00622
30,o3-2025-04-16,1.0,0,1,True,True,1,1,2150,2048,502,0.0052439999999999995
30,o3-2025-04-16,1.0,0,2,True,True,1,1,2150,2048,349,0.004019999999999999
30,o3-2025-04-16,1.0,1,0,True,True,2,2,4300,4096,937,0.009951999999999999
30,o3-2025-04-16,1.0,1,1,True,True,1,1,2150,2048,349,0.004019999999999999
30,o3-2025-04-16,1.0,1,2,True,True,1,1,2150,2048,762,0.007324
30,o3-2025-04-16,1.0,3,0,True,True,2,2,4300,4096,1034,0.010728
30,o3-2025-04-16,1.0,3,1,True,True,1,1,2150,0,338,0.007004
30,o3-2025-04-16,1.0,3,2,True,True,1,1,2150,2048,541,0.005555999999999999
36,gpt-4o-mini-2024-07-18,0.7,3,0,True,True,1,1,2182,1920,380,0.00041129999999999997
36,gpt-4o-mini-2024-07-18,0.7,3,1,True,True,1,1,2182,1920,347,0.00039150000000000003
36,gpt-4o-mini-2024-07-18,0.7,3,2,True,True,1,1,2182,0,459,0.0006027
36,gpt-4o-mini-2024-07-18,1.0,3,0,True,True,1,1,2182,2048,405,0.0004167
36,gpt-4o-mini-2024-07-18,1.0,3,1,True,True,1,1,2182,1920,345,0.0003903
36,gpt-4o-mini-2024-07-18,1.0,3,2,True,True,1,1,2182,2048,407,0.00041789999999999997
36,gpt-4o-mini-2024-07-18,1.5,3,0,True,True,14,14,30548,25728,69788,0.0445254
36,gpt-4o-mini-2024-07-18,1.5,3,1,True,True,22,22,48004,43648,145919,0.09147840000000003
36,gpt-4o-mini-2024-07-18,1.5,3,2,True,True,2,2,4364,4096,1423,0.0012012
36,gpt-4o-2024-08-06,0.7,0,0,True,True,1,1,2182,0,243,0.007885
36,gpt-4o-2024-08-06,0.7,0,1,True,True,1,1,2182,2048,265,0.005545
36,gpt-4o-2024-08-06,0.7,0,2,True,True,1,1,2182,2176,224,0.004974999999999999
36,gpt-4o-2024-08-06,0.7,1,0,True,True,1,1,2182,2176,225,0.004985
36,gpt-4o-2024-08-06,0.7,1,1,True,True,1,1,2182,2176,224,0.004974999999999999
36,gpt-4o-2024-08-06,0.7,1,2,True,True,1,1,2182,2176,259,0.005325
36,gpt-4o-2024-08-06,0.7,3,0,True,True,1,1,2182,2176,296,0.0056949999999999995
36,gpt-4o-2024-08-06,0.7,3,1,True,True,1,1,2182,2176,195,0.004685
36,gpt-4o-2024-08-06,0.7,3,2,True,True,1,1,2182,2176,249,0.005224999999999999
36,o3-2025-04-16,1.0,0,0,True,True,1,1,2187,2048,2501,0.02131
36,o3-2025-04-16,1.0,0,1,True,True,1,1,2187,2176,1253,0.011134
36,o3-2025-04-16,1.0,0,2,True,True,1,1,2187,2048,1041,0.00963
36,o3-2025-04-16,1.0,1,0,True,True,1,1,2187,2176,1787,0.015406
36,o3-2025-04-16,1.0,1,1,True,True,1,1,2187,2176,1437,0.012606
36,o3-2025-04-16,1.0,1,2,True,True,1,1,2187,2176,966,0.008838
36,o3-2025-04-16,1.0,3,0,True,True,1,1,2187,2048,1590,0.014021999999999998
36,o3-2025-04-16,1.0,3,1,True,True,1,1,2187,2176,1222,0.010886
36,o3-2025-04-16,1.0,3,2,True,True,1,1,2187,2176,3003,0.025134
69,gpt-4o-mini-2024-07-18,0.7,3,0,True,True,20,20,63825,44032,8757,0.011525549999999999
69,gpt-4o-mini-2024-07-18,0.7,3,1,True,True,8,8,27061,16896,3855,0.00510495
69,gpt-4o-mini-2024-07-18,0.7,3,2,True,True,33,33,113815,73600,14770,0.020414249999999995
69,gpt-4o-mini-2024-07-18,1.0,3,0,True,True,65,65,228773,158336,30410,0.04068675000000001
69,gpt-4o-mini-2024-07-18,1.0,3,1,True,True,13,13,43809,29824,5984,0.00792495
69,gpt-4o-mini-2024-07-18,1.0,3,2,True,True,33,33,111883,79488,15789,0.02029425
69,gpt-4o-mini-2024-07-18,1.5,3,0,True,True,34,34,85914,73728,202164,0.12865589999999996
69,gpt-4o-mini-2024-07-18,1.5,3,1,True,False,61,61,151492,128512,315384,0.20231580000000005
69,gpt-4o-mini-2024-07-18,1.5,3,2,True,False,48,48,124779,100224,318106,0.20206364999999996
69,gpt-4o-2024-08-06,0.7,0,0,True,True,1,1,2201,0,388,0.009382499999999998
69,gpt-4o-2024-08-06,0.7,0,1,True,True,1,1,2201,2176,373,0.006512499999999999
69,gpt-4o-2024-08-06,0.7,0,2,True,True,6,6,13206,12416,2187,0.039365
69,gpt-4o-2024-08-06,0.7,1,0,True,True,5,5,11894,10368,1383,0.030604999999999997
69,gpt-4o-2024-08-06,0.7,1,1,True,True,5,5,12561,11648,1876,0.035602499999999995
69,gpt-4o-2024-08-06,0.7,1,2,True,True,3,3,7366,6784,1176,0.021695
69,gpt-4o-2024-08-06,0.7,3,0,True,True,1,1,2201,2176,266,0.005442499999999999
69,gpt-4o-2024-08-06,0.7,3,1,True,True,9,9,26842,24064,3080,0.067825
69,gpt-4o-2024-08-06,0.7,3,2,True,True,8,8,23789,18688,2583,0.0619425
69,o3-2025-04-16,1.0,0,0,True,True,1,1,2206,2048,4593,0.038084
69,o3-2025-04-16,1.0,0,1,True,True,1,1,2206,2048,3438,0.028843999999999998
69,o3-2025-04-16,1.0,0,2,True,True,1,1,2206,2176,3348,0.027932
69,o3-2025-04-16,1.0,1,0,True,True,1,1,2206,2176,5236,0.043036
69,o3-2025-04-16,1.0,1,1,True,True,1,1,2206,0,2215,0.022132
69,o3-2025-04-16,1.0,1,2,True,True,1,1,2206,2176,3306,0.027596
69,o3-2025-04-16,1.0,3,0,True,True,1,1,2206,2176,3440,0.028668
69,o3-2025-04-16,1.0,3,1,True,True,1,1,2206,2176,6145,0.050308
69,o3-2025-04-16,1.0,3,2,True,True,1,1,2206,2176,2955,0.024787999999999998
56,gpt-4o-mini-2024-07-18,0.7,3,0,True,True,6,6,18000,12288,2740,0.0034223999999999995
56,gpt-4o-mini-2024-07-18,0.7,3,1,True,True,2,2,5208,4096,1022,0.0010872
56,gpt-4o-mini-2024-07-18,0.7,3,2,True,True,7,7,20956,16000,2956,0.003717
56,gpt-4o-mini-2024-07-18,1.0,3,0,True,True,3,3,8373,6528,1174,0.0014707499999999998
56,gpt-4o-mini-2024-07-18,1.0,3,1,True,True,1,1,2226,2176,396,0.0004083
56,gpt-4o-mini-2024-07-18,1.0,3,2,True,True,4,4,13466,7936,2377,0.0028509
56,gpt-4o-mini-2024-07-18,1.5,3,0,True,True,43,43,111393,87680,212785,0.13780395
56,gpt-4o-mini-2024-07-18,1.5,3,1,True,True,13,13,28938,27264,75505,0.0475989
56,gpt-4o-mini-2024-07-18,1.5,3,2,True,False,52,52,124146,109312,322650,0.20401349999999996
56,gpt-4o-2024-08-06,0.7,0,0,True,True,3,3,6678,6272,950,0.018354999999999996
56,gpt-4o-2024-08-06,0.7,0,1,True,True,1,1,2226,2176,444,0.007285
56,gpt-4o-2024-08-06,0.7,0,2,True,True,1,1,2226,2048,293,0.005934999999999999
56,gpt-4o-2024-08-06,0.7,1,0,True,True,1,1,2226,2176,365,0.006494999999999999
56,gpt-4o-2024-08-06,0.7,1,1,True,True,2,2,5001,4736,595,0.012532499999999999
56,gpt-4o-2024-08-06,0.7,1,2,True,True,1,1,2226,2176,243,0.005275
56,gpt-4o-2024-08-06,0.7,3,0,True,True,1,1,2226,0,351,0.009075
56,gpt-4o-2024-08-06,0.7,3,1,True,True,3,3,8810,8064,1387,0.025814999999999998
56,gpt-4o-2024-08-06,0.7,3,2,True,True,1,1,2226,2048,217,0.005174999999999999
56,o3-2025-04-16,1.0,0,0,True,True,1,1,2231,2048,1968,0.017133999999999996
56,o3-2025-04-16,1.0,0,1,True,True,2,2,4462,4352,5808,0.04886
56,o3-2025-04-16,1.0,0,2,True,True,1,1,2231,2176,4650,0.038397999999999995
56,o3-2025-04-16,1.0,1,0,True,True,1,1,2231,2048,2929,0.024821999999999997
56,o3-2025-04-16,1.0,1,1,True,True,1,1,2231,2176,2979,0.02503
56,o3-2025-04-16,1.0,1,2,True,True,1,1,2231,2176,3179,0.02663
56,o3-2025-04-16,1.0,3,0,True,True,1,1,2231,2176,3208,0.026862
56,o3-2025-04-16,1.0,3,1,True,True,2,2,4462,4224,7680,0.064028
56,o3-2025-04-16,1.0,3,2,True,True,1,1,2231,2176,4598,0.037981999999999995
82,gpt-4o-mini-2024-07-18,0.7,3,0,True,True,1,1,2235,1920,450,0.00046125
82,gpt-4o-mini-2024-07-18,0.7,3,1,True,True,1,1,2235,1920,416,0.00044085
82,gpt-4o-mini-2024-07-18,0.7,3,2,True,True,1,1,2235,1920,445,0.00045825
82,gpt-4o-mini-2024-07-18,1.0,3,0,True,True,1,1,2235,1920,382,0.00042045
82,gpt-4o-mini-2024-07-18,1.0,3,1,True,True,1,1,2235,1920,463,0.00046905
82,gpt-4o-mini-2024-07-18,1.0,3,2,True,True,1,1,2235,2176,383,0.00040185
82,gpt-4o-mini-2024-07-18,1.5,3,0,True,True,28,28,64178,57472,197729,0.12395369999999997
82,gpt-4o-mini-2024-07-18,1.5,3,1,True,True,16,16,40119,33920,126246,0.07922145
82,gpt-4o-mini-2024-07-18,1.5,3,2,True,True,20,20,44700,42368,148847,0.09283559999999999
82,gpt-4o-2024-08-06,0.7,0,0,True,True,2,2,4470,4224,585,0.011744999999999998
82,gpt-4o-2024-08-06,0.7,0,1,True,True,1,1,2235,2048,395,0.006977499999999999
82,gpt-4o-2024-08-06,0.7,0,2,True,True,1,1,2235,2048,328,0.0063075
82,gpt-4o-2024-08-06,0.7,1,0,True,True,1,1,2235,2176,298,0.005847499999999999
82,gpt-4o-2024-08-06,0.7,1,1,True,True,1,1,2235,2176,199,0.0048575
82,gpt-4o-2024-08-06,0.7,1,2,True,True,1,1,2235,2048,351,0.0065375
82,gpt-4o-2024-08-06,0.7,3,0,True,True,1,1,2235,2048,303,0.0060574999999999995
82,gpt-4o-2024-08-06,0.7,3,1,True,True,1,1,2235,2176,407,0.006937499999999999
82,gpt-4o-2024-08-06,0.7,3,2,True,True,2,2,5093,4096,595,0.013562499999999998
82,o3-2025-04-16,1.0,0,0,True,True,1,1,2240,0,2022,0.020656
82,o3-2025-04-16,1.0,0,1,True,True,1,1,2240,2048,1974,0.0172
82,o3-2025-04-16,1.0,0,2,True,True,1,1,2240,2176,1915,0.016536
82,o3-2025-04-16,1.0,1,0,True,True,1,1,2240,2176,2252,0.019232
82,o3-2025-04-16,1.0,1,1,True,True,1,1,2240,2176,1443,0.012759999999999999
82,o3-2025-04-16,1.0,1,2,True,True,1,1,2240,2176,2176,0.018624
82,o3-2025-04-16,1.0,3,0,True,True,2,2,4480,4224,3399,0.029816
82,o3-2025-04-16,1.0,3,1,True,True,1,1,2240,2176,1353,0.01204
82,o3-2025-04-16,1.0,3,2,True,True,1,1,2240,2176,886,0.008303999999999999
94,gpt-4o-mini-2024-07-18,0.7,3,0,True,True,2,2,5052,4224,993,0.0010367999999999998
94,gpt-4o-mini-2024-07-18,0.7,3,1,True,True,6,6,17704,14336,3222,0.0035136
94,gpt-4o-mini-2024-07-18,0.7,3,2,True,True,6,6,18021,12672,3422,0.00380595
94,gpt-4o-mini-2024-07-18,1.0,3,0,True,True,4,4,12745,9856,2329,0.0025699499999999997
94,gpt-4o-mini-2024-07-18,1.0,3,1,True,True,7,7,23451,17280,4709,0.005047049999999999
94,gpt-4o-mini-2024-07-18,1.0,3,2,True,True,109,109,362240,266368,62468,0.07183919999999994
94,gpt-4o-mini-2024-07-18,1.5,3,0,True,False,42,42,96940,88448,322663,0.20150519999999994
94,gpt-4o-mini-2024-07-18,1.5,3,1,True,False,56,56,158154,117248,309826,0.20082509999999992
94,gpt-4o-mini-2024-07-18,1.5,3,2,True,False,42,42,103579,90112,326459,0.20465385000000003
94,gpt-4o-2024-08-06,0.7,0,0,True,False,23,23,50784,45952,13213,0.20164999999999997
94,gpt-4o-2024-08-06,0.7,0,1,True,False,24,24,52992,49664,13030,0.20069999999999996
94,gpt-4o-2024-08-06,0.7,0,2,True,False,24,24,52992,48256,12810,0.20026
94,gpt-4o-2024-08-06,0.7,1,0,True,True,8,8,20003,17408,3416,0.06240749999999999
94,gpt-4o-2024-08-06,0.7,1,1,True,True,2,2,4859,4736,878,0.015007499999999998
94,gpt-4o-2024-08-06,0.7,1,2,True,True,5,5,12308,11136,2417,0.04102
94,gpt-4o-2024-08-06,0.7,3,0,True,True,6,6,18841,14080,2984,0.0593425
94,gpt-4o-2024-08-06,0.7,3,1,True,True,4,4,12618,6272,1832,0.04202499999999999
94,gpt-4o-2024-08-06,0.7,3,2,True,True,3,3,8691,7040,1359,0.0265175
94,o3-2025-04-16,1.0,0,0,True,True,2,2,4426,4224,5729,0.048348
94,o3-2025-04-16,1.0,0,1,True,True,2,2,4426,4352,6760,0.056403999999999996
94,o3-2025-04-16,1.0,0,2,True,True,1,1,2213,2176,2087,0.017858
94,o3-2025-04-16,1.0,1,0,True,True,1,1,2213,2176,3127,0.026178
94,o3-2025-04-16,1.0,1,1,True,True,1,1,2213,2176,2356,0.02001
94,o3-2025-04-16,1.0,1,2,True,True,1,1,2213,2176,2818,0.023705999999999998
94,o3-2025-04-16,1.0,3,0,True,True,2,2,4657,4224,5024,0.04317
94,o3-2025-04-16,1.0,3,1,True,True,1,1,2213,2176,3631,0.030209999999999997
94,o3-2025-04-16,1.0,3,2,True,True,1,1,2213,2176,3772,0.031338
73,gpt-4o-mini-2024-07-18,0.7,3,0,True,True,5,5,15640,11520,2414,0.0029303999999999997
73,gpt-4o-mini-2024-07-18,0.7,3,1,True,True,1,1,2222,2176,452,0.00044129999999999994
73,gpt-4o-mini-2024-07-18,0.7,3,2,True,True,1,1,2222,1920,430,0.0004473
73,gpt-4o-mini-2024-07-18,1.0,3,0,True,True,1,1,2222,1920,526,0.0005049
73,gpt-4o-mini-2024-07-18,1.0,3,1,True,True,2,2,5468,4352,1065,0.0011328
73,gpt-4o-mini-2024-07-18,1.0,3,2,True,True,2,2,5206,4096,846,0.0009813
73,gpt-4o-mini-2024-07-18,1.5,3,0,True,True,19,19,42218,39552,112640,0.0709503
73,gpt-4o-mini-2024-07-18,1.5,3,1,True,True,11,11,25345,22912,53828,0.03438015
73,gpt-4o-mini-2024-07-18,1.5,3,2,True,True,9,9,21846,19968,31684,0.020789699999999998
73,gpt-4o-2024-08-06,0.7,0,0,True,True,1,1,2222,2048,416,0.007155
73,gpt-4o-2024-08-06,0.7,0,1,True,True,1,1,2222,2176,291,0.005745
73,gpt-4o-2024-08-06,0.7,0,2,True,True,2,2,4444,4096,585,0.01184
73,gpt-4o-2024-08-06,0.7,1,0,True,True,1,1,2222,2048,435,0.007344999999999999
73,gpt-4o-2024-08-06,0.7,1,1,True,True,4,4,10406,8704,1359,0.028725
73,gpt-4o-2024-08-06,0.7,1,2,True,True,1,1,2222,2048,321,0.006205
73,gpt-4o-2024-08-06,0.7,3,0,True,True,1,1,2222,2176,440,0.007234999999999999
73,gpt-4o-2024-08-06,0.7,3,1,True,True,1,1,2222,2176,326,0.006095
73,gpt-4o-2024-08-06,0.7,3,2,True,True,1,1,2222,2176,301,0.0058449999999999995
73,o3-2025-04-16,1.0,0,0,True,True,1,1,2227,2048,2351,0.02019
73,o3-2025-04-16,1.0,0,1,True,True,1,1,2227,2176,3679,0.030622
73,o3-2025-04-16,1.0,0,2,True,True,1,1,2227,2176,2360,0.020069999999999998
73,o3-2025-04-16,1.0,1,0,True,True,2,2,4454,4352,5044,0.042732
